episode,timestep,reward
1954,195500,-77.9267
1959,196000,-72.7223
1964,196500,-67.1458
1969,197000,-65.1609
1974,197500,-68.2504
1979,198000,-64.1038
1984,198500,-63.9965
1989,199000,-58.687
1994,199500,-63.5901
1999,200000,-65.0279
2004,200500,-63.2734
2009,201000,-70.6442
2014,201500,-62.8247
2019,202000,-61.3672
2024,202500,-64.9049
2029,203000,-63.6937
2034,203500,-68.7941
2039,204000,-70.8574
2044,204500,-58.2894
2049,205000,-64.5065
2054,205500,-73.6852
2059,206000,-70.1615
2064,206500,-63.3464
2069,207000,-87.8343
2074,207500,-87.173
2079,208000,-98.0293
2084,208500,-78.2737
2089,209000,-82.5643
2094,209500,-80.0663
2099,210000,-81.0345
2104,210500,-90.6597
2109,211000,-69.2938
2114,211500,-61.3939
2119,212000,-70.2334
2124,212500,-58.014
2129,213000,-52.1026
2134,213500,-58.6617
2139,214000,-46.4703
2144,214500,-67.6871
2149,215000,-60.6174
2154,215500,-65.7826
2159,216000,-76.1052
2164,216500,-72.4891
2169,217000,-64.7332
2174,217500,-68.1698
2179,218000,-68.2876
2184,218500,-69.6986
2189,219000,-72.7235
2194,219500,-77.8846
2199,220000,-70.3682
2204,220500,-64.4345
2209,221000,-73.6465
2214,221500,-84.2291
2219,222000,-88.8455
2224,222500,-78.0972
2229,223000,-81.1001
2234,223500,-81.5285
2239,224000,-82.8138
2244,224500,-81.3143
2249,225000,-81.0745
2254,225500,-81.8592
2259,226000,-74.2685
2264,226500,-80.5801
2269,227000,-73.2532
2274,227500,-70.53
2279,228000,-77.5173
2284,228500,-78.3695
2289,229000,-74.1627
2294,229500,-67.3485
2299,230000,-77.4715
2304,230500,-69.6093
2309,231000,-59.2736
2314,231500,-65.8142
2319,232000,-60.7943
2324,232500,-69.8951
2329,233000,-63.2194
2334,233500,-59.142
2339,234000,-57.1879
2344,234500,-61.4799
2349,235000,-56.3142
2354,235500,-64.6486
2359,236000,-55.5972
2364,236500,-70.1146
2369,237000,-64.2706
2374,237500,-65.7818
2379,238000,-61.1074
2384,238500,-57.1908
2389,239000,-62.1568
2394,239500,-54.9802
2399,240000,-51.0294
2404,240500,-54.5008
2409,241000,-50.6017
2414,241500,-71.2445
2419,242000,-54.2386
2424,242500,-62.3428
2429,243000,-55.3327
2434,243500,-57.7259
2439,244000,-54.8676
2444,244500,-49.4151
2449,245000,-54.9702
2454,245500,-53.6232
2459,246000,-61.8753
2464,246500,-51.611
2469,247000,-57.4519
2474,247500,-61.1588
2479,248000,-62.3832
2484,248500,-71.8898
2489,249000,-66.7403
2494,249500,-55.2956
2499,250000,-54.7467
